ShortCode	Type	Title	Author	Journal	Organization	Publisher	Address	Year	Volume	Number	URL	Date Accessed	Pages	Book Chapter Title	Book editors	
weeks14	article	Media law and copyright implications of automated journalism	Lin Weeks	Journal of Intellectual Property and Entertainment Law	New York University			2014	4	1			67-94			
wei12	bookchapter	The Global Journalist in the 21st Century	"Siegfried Weischenberg, Maja Malik, and Armin Scholl"			Routledge	New York	2012					205-219	Journalism in Germany in the 21st Century	David Weaver and Lars Willnat	
white15	online	Automated Earnings Stories Multiply	Erin Medigan White		Associated Press			29 January 2015			https://blog.ap.org/announcements/automated-earnings-stories-multiply					
young15	article	From Mr. and Mrs. Outlier to Central Tendencies	Alfred Hermida and Mary Lynn Young	Digital Journalism				2015	3	3			381-397			
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
